role,docs_path,unity_path,width,height,runtime_width,runtime_height,color_type,alpha_required,runtime_max_texture_size,runtime_source_size,sha256,unity_sha256,classification,usage
login_background,docs/reference-art/v3b/runtime-candidates/login/login_background_spirit_gate_1920x1080_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Login/login_background_spirit_gate_1920x1080_v3b_candidate.jpg,1920,1080,1920,1080,2,no,2048,1920,af1ba6e33865b8da97f9ed6d392d060cfdbe3a2e58a829a2ddc7bb266a827279,b2ca5d9ba64b7f7c7da04b6c3b5cfc84e8492c7145a3924f1ea45f91e509def5,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,Login/Gate Entry background candidate; no baked UI/text.
login_logo,docs/reference-art/v3b/runtime-candidates/login/logo_linh_gioi_online_v3b_light_runtime_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Login/logo_linh_gioi_online_v3b_light_runtime_candidate.png,1774,887,512,256,6,yes,512,512,8aa87c98f00fe9e2e504006fdaee88da93735dc659e673ef3fb5c8728bdce3f6,581ea63c03d5cea6c442be9ef5095e3fe666d06daf81fa8de8938dd4d5a52f22,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,Purpose-built lighter Linh Gioi Online login logo candidate; intended baked brand text only with reduced blue backdrop mass.
login_panel,docs/reference-art/v3b/runtime-candidates/login/panel_main_dark_gold_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Login/panel_main_dark_gold_v3b_candidate.png,1774,887,384,192,6,yes,512,384,0ad1ac5720b504e3359e0e055b5e74ac8c4a418f1b24081cfad4286b37ce17aa,58dad607b74b7e1cf820ee049c05e852d0f642415bcb0852bc37ea12069225cb,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,Login/Gate Entry panel skin candidate; human edge QA still required.
enter_world_button,docs/reference-art/v3b/runtime-candidates/login/button_enter_world_gold_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Login/button_enter_world_gold_v3b_candidate.png,2079,756,384,139,6,yes,512,384,35534082884c166e027c185672157ac8f70990ef6b26382c23f874a0abd62e6c,9bad5ab8fefd6f47a122f230e3e3ef6eff6b34ec198d3ea841cf4a5a433f1277,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,Primary enter-world button skin candidate; player-facing Vietnamese text remains Unity-rendered.
gate_keeper_npc_login,docs/reference-art/v3b/runtime-candidates/login/gate_keeper_npc_login_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Login/gate_keeper_npc_login_v3b_candidate.png,1024,1536,256,384,6,yes,512,384,be372469d8f83aeded1ed11f692b4f5e372c7022b3b6a3c8f7b228494ab1c8aa,98680e6db4107d195b8cb88886db76a38ddbf128c3e36b73c4186261d4ecc9bd,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution login Gate Keeper NPC candidate; transparent cutout, not production-final."
world_spirit_gate,docs/reference-art/v3b/runtime-candidates/world/gate/spirit_gate_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/World/gate/spirit_gate_v3b_candidate.png,1254,1254,384,384,6,yes,512,384,10703af5d54f1da59db613a43541090389196f9c9d662915df4399f319933334,d84910eee693272b5a1825bac79ddc7e43f5b265abcf7cb4a05134432ca89c2e,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution world Spirit Gate candidate; transparent prop sprite, not production-final."
world_training_stone,docs/reference-art/v3b/runtime-candidates/world/training-stone/training_stone_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/World/training-stone/training_stone_v3b_candidate.png,1024,1536,256,384,6,yes,512,384,37c742616259ed68c2b3e8345a259c4229805b88e3abfe2d71f3acc972b0c511,9a5fa175fb1b3d237cf7e8b6128c6ae8bf57ebbcca4308e8fe87842dba2e7861,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution Training Stone candidate; transparent interactable prop sprite, not production-final."
world_player_male_cultivator,docs/reference-art/v3b/runtime-candidates/world/characters/player_male_cultivator_idle_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/World/characters/player_male_cultivator_idle_v3b_candidate.png,1024,1536,320,480,6,yes,512,480,d442d0742dcdc49378693b6d269642369a804f3d4d54cecaf1cbd9cbaac40d95,56c11a31f5f448e1967252fc1de92e67a966f32a7910810af43f7b90085fb056,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"Corrected male cultivator idle candidate; sword is sheathed/back-mounted and not held by hilt; transparent runtime sprite, not production-final."
vfx_wind_slash_frame_01,docs/reference-art/v3b/runtime-candidates/vfx/wind-slash/wind_slash_frame_01_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/VFX/wind-slash/wind_slash_frame_01_v3b_candidate.png,1254,1254,192,192,6,yes,256,192,26c912a48fc9b132620f97e89c9722c56273634b28c0126797644f76675beb45,50c665471b857748818f7bebffc7bb1ef478e9cc4dbcb2265537ad2b32f7cb08,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution Wind Slash VFX candidate; local feedback only, not production-final."
vfx_impact_spark,docs/reference-art/v3b/runtime-candidates/vfx/impact/impact_spark_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/VFX/impact/impact_spark_v3b_candidate.png,1254,1254,192,192,6,yes,256,192,f244247bb90b394d926269d08b2c8f90c746fea16ecceba95bcff2115a9e5f68,8621ef8e9f0cb049949e8f977675335d3a377b2950149f6c58f8ad8e2a7587eb,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution impact spark VFX candidate; local feedback only, not production-final."
combat_cooldown_ready,docs/reference-art/v3b/runtime-candidates/combat/cooldown/cooldown_ready_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Combat/cooldown/cooldown_ready_v3b_candidate.png,1254,1254,128,128,6,yes,128,128,adba5c6540c39d9f39e19fee941c4b42c70a6dd272b30913a155385629a59211,e65afed631c7865e1cc670e70e43604d661585e5b9dba3b2835b4c92022f238e,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution cooldown ready ring candidate; no baked text/numbers, not production-final."
combat_cooldown_active,docs/reference-art/v3b/runtime-candidates/combat/cooldown/cooldown_active_v3b_candidate.png,client/Unity/Assets/Game/Art/Runtime/V3B/Resources/LGOArtV3B/Combat/cooldown/cooldown_active_v3b_candidate.png,1254,1254,128,128,6,yes,128,128,26af8437b7b3ff7ad04725686d17ecbd7a5cd01878b41d301115f815b8fd1820,9e5c16740d8d0f65e58d7d2914d6d7a054893040f2717761837f8763a57d562f,LGO_ART_V3B_RUNTIME_CANDIDATE_NOT_PRODUCTION_FINAL,"High-resolution cooldown active ring candidate; no baked text/numbers, not production-final."
